Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,2,0,2,100.0,186.1046331711732
2014-08-08,2,0,2,100.0,186.47632784735396
2014-08-11,2,0,2,100.0,191.2449765491921
2014-08-12,2,0,2,100.0,194.6608608546158
2014-08-13,2,0,2,100.0,189.73768256954742
2014-08-14,2,0,2,100.0,191.05944301729576
2014-08-18,2,0,2,100.0,199.69184235464317
2014-08-19,2,0,2,100.0,206.379527677048
2014-08-20,2,0,2,100.0,213.84766713964765
2014-08-21,2,0,2,100.0,215.24915362832195
2014-08-22,2,0,2,100.0,209.57807854930059
2014-08-25,2,0,2,100.0,209.3741547781062
2014-08-26,2,0,2,100.0,211.52357112246202
2014-08-27,2,0,2,100.0,216.18890468267847
2014-08-28,2,0,2,100.0,220.02648907502135
2014-09-01,2,0,2,100.0,218.50448062931252
2014-09-02,2,0,2,100.0,218.71747400414034
2014-09-03,2,0,2,100.0,221.36762668878217
2014-09-04,2,0,2,100.0,221.10633772730733
2014-09-05,2,0,2,100.0,216.8416154089329
2014-09-08,2,0,2,100.0,218.19618435652828
2014-09-09,2,0,2,100.0,222.1418542615367
2014-09-10,2,0,2,100.0,228.16894620948443
2014-09-11,2,0,2,100.0,235.22327352879725
2014-09-12,2,0,2,100.0,239.96609033337185
2014-09-15,2,0,2,100.0,246.9855669741464
2014-09-16,2,0,2,100.0,243.56494058610573
2014-09-17,2,0,2,100.0,239.96265154430208
2014-09-18,2,0,2,100.0,243.87937819819268
2014-09-19,2,0,2,100.0,249.28976450975938
2014-09-22,2,0,2,100.0,247.4039842965923
2014-09-23,2,0,2,100.0,237.4061401318014
2014-09-24,2,0,2,100.0,235.25109738320572
2014-09-25,2,0,2,100.0,228.022104098075
2014-09-26,2,0,2,100.0,224.42926871044887
2014-09-29,2,0,2,100.0,229.42743141318195
2014-09-30,2,0,2,100.0,235.22482389724405
2014-10-01,2,0,2,100.0,236.8036136978654
2014-10-07,2,0,2,100.0,237.96760152753484
2014-10-08,2,0,2,100.0,239.85977103035637
2014-10-09,2,0,2,100.0,240.2176793127035
2014-10-10,2,0,2,100.0,233.6559912059243
2014-10-13,2,0,2,100.0,235.89069353186343
2014-10-14,2,0,2,100.0,235.40879056052452
2014-10-16,2,0,2,100.0,233.28428178648548
2014-10-17,2,0,2,100.0,234.22095923549966
2014-10-20,2,0,2,100.0,233.31030544324406
2014-10-21,2,0,2,100.0,231.85789358908718
2014-10-22,2,0,2,100.0,232.3037564221602
2014-10-23,2,0,2,100.0,231.76407862505735
2014-10-27,2,0,2,100.0,232.53315088363422
2014-10-28,2,0,2,100.0,233.09511775564124
2014-10-29,2,0,2,100.0,231.93631638537053
2014-10-30,2,0,2,100.0,239.00563417883797
2014-10-31,2,0,2,100.0,246.79261611103297
2014-11-03,2,0,2,100.0,248.60376265310836
2014-11-05,2,0,2,100.0,250.9411930225888
2014-11-07,2,0,2,100.0,257.773390740912
2014-11-10,2,0,2,100.0,262.85048195208736
2014-11-11,2,0,2,100.0,261.00794219454446
2014-11-12,2,0,2,100.0,262.31424547387905
2014-11-13,2,0,2,100.0,260.72331730415317
2014-11-14,2,0,2,100.0,259.7999879239137
2014-11-17,2,0,2,100.0,260.8974274214268
2014-11-18,2,0,2,100.0,269.13653326507637
2014-11-19,2,0,2,100.0,271.45471971397643
2014-11-20,2,0,2,100.0,275.28749599919337
2014-11-21,2,0,2,100.0,273.9777160688534
2014-11-24,2,0,2,100.0,270.80605497263275
2014-11-25,2,0,2,100.0,262.98727336760106
2014-11-26,2,0,2,100.0,273.15186472008884
2014-11-27,2,0,2,100.0,268.6709984028228
2014-11-28,2,0,2,100.0,273.6755086036154
2014-12-01,2,0,2,100.0,279.3634305135134
2014-12-02,2,0,2,100.0,283.67670917427097
2014-12-03,2,0,2,100.0,285.9118065283183
2014-12-04,2,0,2,100.0,284.89462858687267
2014-12-05,2,0,2,100.0,290.22366966415774
2014-12-08,2,0,2,100.0,289.4534008221482
2014-12-09,2,0,2,100.0,280.74538627255674
2014-12-10,2,0,2,100.0,287.19430630159786
