Date,Above,Below,Total,Percentage,Index_Close
2014-08-07,3,0,4,100.0,175.1231385233263
2014-08-08,3,0,4,100.0,170.52198178530435
2014-08-11,3,0,4,100.0,172.86319177219178
2014-08-12,3,0,4,100.0,174.98817987000754
2014-08-13,3,0,4,100.0,169.01898737510953
2014-08-14,3,0,4,100.0,169.7713057090137
2014-08-18,3,0,4,100.0,179.8662424657487
2014-08-19,3,0,4,100.0,181.18498996213864
2014-08-20,3,0,4,100.0,180.40551321680067
2014-08-21,3,0,4,100.0,182.13281705033157
2014-08-22,3,0,4,100.0,179.84528711260916
2014-08-25,3,0,4,100.0,182.5390544517288
2014-08-26,3,0,4,100.0,180.52856705036953
2014-08-27,3,0,4,100.0,181.85409800559393
2014-08-28,3,0,3,100.0,179.98603364217144
2014-09-01,4,0,4,100.0,184.57730937010444
2014-09-02,4,0,4,100.0,184.57082941407063
2014-09-03,4,0,4,100.0,183.1277781678264
2014-09-04,4,0,4,100.0,180.47462504192714
2014-09-05,4,0,4,100.0,182.60358766162335
2014-09-08,4,0,4,100.0,185.49274385615684
2014-09-09,4,0,4,100.0,192.43719056183178
2014-09-10,4,0,4,100.0,196.35585860551345
2014-09-11,4,0,4,100.0,204.82167409567103
2014-09-12,4,0,4,100.0,209.45000128487385
2014-09-15,4,0,4,100.0,210.45897982146406
2014-09-16,4,0,4,100.0,207.953971041458
2014-09-17,4,0,4,100.0,206.7566318347182
2014-09-18,4,0,4,100.0,214.53674209294405
2014-09-19,4,0,4,100.0,214.08487190874243
2014-09-22,4,0,4,100.0,212.17288686366683
2014-09-23,4,0,4,100.0,207.95704356531058
2014-09-24,4,0,4,100.0,197.903837758411
2014-09-25,4,0,4,100.0,189.47870487386993
2014-09-26,4,0,4,100.0,189.23348214856924
2014-09-29,4,0,4,100.0,191.76318822519062
2014-09-30,4,0,4,100.0,192.17447695881742
2014-10-01,4,0,4,100.0,191.26924294312494
2014-10-07,4,0,4,100.0,188.88500220715378
2014-10-08,4,0,4,100.0,187.51244685445712
